device_id,identity,bank,device_fingerprint,gpu_renderers,screen,os,browser,ips,ip_country,ip_city,ip_latitude,ip_longitude,ip_timezone,ip_network,ua_os,ua_os_version,ua_browser,ua_browser_version,ua_is_mobile
0e1cf08b-671a-4444-b937-05b673c24b02,46607cfe53154d006b48304829c11239490e3648,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.189,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,937dce004ef1c6881ad43cc9eae111b4ce16943b,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.51,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,398dc0311b79cae1b2e151c2bb65ad9fd9e11264,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.1,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,72ea52d509648c35511490abcde130f1ca8ce8ce,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,213.87.160.33,Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.160.32/28,Android,8.0.0,Chrome,79.0.3945,
0e1cf08b-671a-4444-b937-05b673c24b02,1e6225588202d73a5751c0a647de607a746bf1c4,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.135,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,6817417e619df287488ce98c22e89bd98a163e20,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,109.197.204.205,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,9250ef4b04fb36101273867d4a333918dd20bba0,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,"213.87.162.136,109.197.204.133",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.162.0/23,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,29f5d34d4e13da24a9a4b40acaf2e2f74d9fd46e,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 77.0.3865,"213.87.162.136,109.197.204.133",Russia,Moscow,55.7487,37.6187,Europe/Moscow,213.87.162.0/23,Android,8.0.0,Chrome,77.0.3865,
0e1cf08b-671a-4444-b937-05b673c24b02,600b7a021f2e0abb8371916317c0e8693ef4228d,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 78.0.3904,109.197.204.225,Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,78.0.3904,
0e1cf08b-671a-4444-b937-05b673c24b02,1858312588c2c32ae0eccf72c4bda02f3277e47f,Bank9,1928f95c59-a1ec271658-d77bb43915-66ae47db59,Mali-T830,"(960, 600, 24)",Android 8.0.0,Chrome 79.0.3945,"109.197.204.78,213.87.155.19",Russia,Yaroslavl,57.6299,39.8737,Europe/Moscow,109.197.204.0/22,Android,8.0.0,Chrome,79.0.3945,
